total loop,NTR loop,original poisoned train loss
555,0,0.0022
556,0,0.005
557,0,0.0115
558,0,0.0091
559,0,0.0004
560,0,0.0027
561,0,0.0007
562,0,0.0012
563,0,0.0007
564,0,0.0045
565,0,0.001
566,0,0.0054
567,0,0.0011
568,0,0.0039
569,0,0.0014
570,0,0.0007
571,0,0.0025
572,0,0.0007
573,0,0.0006
574,0,0.0019
575,0,0.0002
576,0,0.0003
577,0,0.0004
578,0,0.0005
579,0,0.0128
580,0,0.0013
581,0,0.0005
582,0,0.0026
583,0,0.0007
584,0,0.0004
585,0,0.0012
586,0,0.0015
587,0,0.005
588,0,0.0009
589,0,0.001
590,0,0.0083
591,0,0.0055
592,0,0.0224
593,0,0.0006
594,0,0.0009
595,0,0.0054
596,0,0.0016
597,0,0.0022
598,0,0.0048
599,0,0.0181
600,0,0.0034
601,0,0.001
602,0,0.0009
603,0,0.0018
604,0,0.0042
605,0,0.001
606,0,0.0041
607,0,0.0014
608,0,0.0005
609,0,0.0012
610,0,0.001
611,0,0.001
612,0,0.0118
613,0,0.0005
614,0,0.0022
615,0,0.0027
616,0,0.0111
617,0,0.0041
618,0,0.0024
619,0,0.0006
620,0,0.0037
621,0,0.0035
622,0,0.0014
623,0,0.001
624,0,0.0218
625,0,0.0078
626,0,0.0062
627,0,0.0013
628,0,0.0012
629,0,0.0128
630,0,0.003
631,0,0.001
632,0,0.0022
633,0,0.0015
634,0,0.0017
635,0,0.0026
636,0,0.0009
637,0,0.001
638,0,0.0096
639,0,0.002
640,0,1.6595
641,0,0.0098
642,0,0.0628
