total loop,NTR loop,original train loss
392,0,0.0024622022174298763
393,0,0.0012083395849913359
394,0,0.0021574392449110746
395,0,0.0029025680851191282
396,0,0.0018707476556301117
397,0,0.0032091017346829176
398,0,0.002565044676885009
399,0,0.00453420914709568
400,0,0.002996527124196291
401,0,0.002914147451519966
402,0,0.005362221971154213
403,0,0.0025650847237557173
404,0,0.00403197668492794
405,0,0.004381110891699791
406,0,0.0023546514566987753
407,0,0.005141874775290489
408,0,0.005643458105623722
409,0,0.007777993101626635
410,0,0.0021861183922737837
411,0,0.002274022437632084
412,0,0.002850351156666875
413,0,0.0020250892266631126
414,0,0.001775333541445434
415,0,0.0016559610376134515
416,0,0.0032898804638534784
417,0,0.005141230300068855
418,0,0.003593756351619959
419,0,0.0021982828620821238
420,0,0.0025203735567629337
421,0,0.0023673789110034704
422,0,0.0012656853068619967
423,0,0.0030163140036165714
424,0,0.0046088844537734985
425,0,0.00384345930069685
426,0,0.001704520545899868
427,0,0.0038119058590382338
428,0,0.0022806411143392324
429,0,0.003313283436000347
430,0,0.0025826168712228537
431,0,0.005185446236282587
432,0,0.0050561148673295975
433,0,0.0030240314081311226
434,0,0.0035195096861571074
435,0,0.0021448007319122553
436,0,0.04511890932917595
437,0,0.0033770755399018526
438,0,0.00585149647668004
439,0,0.023616665974259377
440,0,0.002106382977217436
441,0,0.035938944667577744
442,0,0.04360407590866089
443,0,0.018134212121367455
444,0,0.012699740938842297
445,0,0.008744491264224052
446,0,0.016923844814300537
447,0,0.14994823932647705
448,0,33.12893295288086
449,0,0.013553878292441368
450,0,0.00853594671934843
451,0,0.013716640882194042
452,0,0.04396418482065201
