total loop,FTS loop,restrict set train loss,restrict set train accuracy
227,0,-3.0643696546554566,0.0
228,0,-1.9976286172866822,2.600000038743019
229,0,-2.3316471862792967,0.10000000149011613
230,0,-2.6084821128845217,0.0
231,0,-1.9402540802955628,40.700000651180744
232,0,-2.7030706214904785,0.0
233,0,-2.4470195245742796,0.0
234,0,-2.342575206756592,0.20000000298023227
235,0,-3.1635337686538696,0.0
236,0,-2.685794644355774,0.0
237,0,-2.6759557056427004,0.0
238,0,-2.542253866195679,0.10000000149011613
239,0,-1.308669056892395,99.79999995231628
240,0,-3.0319998693466186,0.0
241,0,-2.7812106466293334,0.0
242,0,-2.426602110862732,0.0
243,0,-2.2063447856903076,0.0
244,0,-3.15351683139801,0.0
245,0,-2.9606423425674437,0.0
246,0,-2.8050408935546876,0.0
247,0,-2.556525158882141,0.0
248,0,-1.8200918984413148,1.0000000149011612
249,0,-3.401640043258667,0.0
250,0,-3.238689007759094,0.0
251,0,-3.001031699180603,0.0
252,0,-2.4532308053970335,0.0
253,0,-2.0503084516525267,0.5000000074505806
254,0,-2.1408346366882323,0.0
255,0,-1.6654875349998475,71.90000148117542
256,0,-2.3445545864105224,0.0
257,0,-3.19932550907135,0.0
258,0,-2.519782247543335,0.0
259,0,-2.4169317197799685,0.0
260,0,-2.4608921575546265,0.0
261,0,-2.9488610935211184,0.0
262,0,-1.691574249267578,100.0
263,0,-2.4834060525894164,0.0
264,0,-2.5807373094558717,0.0
265,0,-2.5361389970779418,0.0
266,0,-2.0240405893325804,0.0
267,0,-2.606294369697571,0.0
268,0,-2.05397310256958,0.0
269,0,-1.6770151162147522,33.000000312924385
270,0,-2.650654425621033,0.0
271,0,-2.8118754863739013,1.6000000238418581
272,0,-1.8223223972320557,99.40000009536743
273,0,-2.331613712310791,1.1000000163912773
274,0,-2.698344612121582,0.0
275,0,-3.163337759971619,0.0
276,0,-1.790561122894287,0.0
277,0,-2.5720938205718995,0.0
278,0,-1.9590492367744445,0.30000000447034836
279,0,-2.4939276218414306,0.0
280,0,-2.558355679512024,0.0
281,0,-3.1862982273101808,0.0
282,0,-2.553569793701172,0.0
283,0,-4.209555015563965,0.0
284,0,-2.7091817331314085,0.0
285,0,-2.318299369812012,0.0
286,0,-3.258359203338623,0.0
287,0,-2.6626280975341796,1.8000000268220901
288,0,-3.249269790649414,0.0
289,0,-3.401018476486206,0.0
290,0,-1.6298275566101075,88.80000174045563
291,0,-2.812293381690979,0.0
292,0,-3.086487903594971,0.0
293,0,-2.820984182357788,0.0
294,0,-2.8501968431472777,0.0
295,0,-2.138688812255859,5.100000075995922
296,0,-1.569884090423584,96.00000011920929
297,0,-1.8763102960586548,8.500000141561031
298,0,-3.066170310974121,0.0
299,0,-2.4695157337188722,0.0
300,0,-2.15139545917511,0.0
301,0,-2.411548204421997,0.0
302,0,-3.0836953496932984,0.0
303,0,-2.7477777004241943,0.0
304,0,-2.4510960483551028,0.0
305,0,-2.732026858329773,0.0
306,0,-2.619366908073425,0.0
307,0,-1.6745644426345825,91.30000150203705
308,0,-2.5286986112594603,0.0
309,0,-2.4977428913116455,0.0
310,0,-2.0765092515945436,10.20000021904707
311,0,-2.2387808084487917,0.0
312,0,-3.136571626663208,0.0
313,0,-3.197516231536865,0.0
314,0,-2.3813093805313112,0.0
315,0,-2.1336633491516115,6.4000000953674325
316,0,-2.1449896144866942,0.0
